06/11/2019,"$ 14.700,00"
05/11/2019,"$ 14.900,00"
04/11/2019,"$ 14.935,00"
01/11/2019,"$ 14.950,00"
31/10/2019,"$ 14.860,00"
30/10/2019,"$ 14.740,00"
29/10/2019,"$ 14.520,00"
28/10/2019,"$ 14.230,00"
25/10/2019,"$ 14.600,00"
24/10/2019,"$ 14.600,00"
23/10/2019,"$ 14.390,00"
22/10/2019,"$ 14.250,00"
21/10/2019,"$ 14.050,00"
18/10/2019,"$ 13.956,00"
17/10/2019,"$ 13.740,00"
16/10/2019,"$ 13.700,00"
15/10/2019,"$ 13.650,00"
11/10/2019,"$ 14.200,00"
10/10/2019,"$ 14.050,00"
09/10/2019,"$ 14.050,00"
08/10/2019,"$ 13.950,00"
04/10/2019,"$ 13.720,00"
03/10/2019,"$ 13.690,00"
02/10/2019,"$ 13.820,00"
01/10/2019,"$ 13.800,00"
30/09/2019,"$ 13.690,00"
27/09/2019,"$ 13.366,00"
26/09/2019,"$ 13.395,00"
25/09/2019,"$ 13.390,00"
24/09/2019,"$ 13.375,00"
23/09/2019,"$ 13.420,00"
20/09/2019,"$ 13.270,00"
19/09/2019,"$ 13.500,00"
18/09/2019,"$ 13.400,00"
17/09/2019,"$ 13.450,00"
16/09/2019,"$ 13.470,00"
13/09/2019,"$ 13.470,00"
12/09/2019,"$ 13.390,00"
11/09/2019,"$ 13.250,00"
10/09/2019,"$ 13.400,00"
09/09/2019,"$ 13.100,00"
06/09/2019,"$ 13.100,00"
05/09/2019,"$ 13.100,00"
04/09/2019,"$ 13.400,00"
03/09/2019,"$ 13.000,00"
02/09/2019,S
30/08/2019,"$ 13.995,00"
29/08/2019,"$ 13.650,00"
28/08/2019,"$ 13.670,00"
27/08/2019,"$ 13.210,00"
26/08/2019,"$ 13.230,00"
23/08/2019,"$ 13.190,00"
22/08/2019,"$ 13.366,00"
21/08/2019,"$ 13.430,00"
20/08/2019,"$ 13.250,00"
16/08/2019,"$ 13.440,00"
15/08/2019,"$ 13.750,00"
14/08/2019,"$ 14.450,00"
13/08/2019,S
12/08/2019,S
09/08/2019,"$ 11.000,00"
08/08/2019,"$ 11.000,00"
07/08/2019,"$ 10.910,00"
06/08/2019,"$ 10.700,00"
05/08/2019,"$ 10.650,00"
02/08/2019,"$ 10.310,00"
01/08/2019,"$ 10.100,00"
31/07/2019,"$ 10.100,00"
30/07/2019,"$ 10.200,00"
29/07/2019,"$ 10.110,00"
26/07/2019,"$ 10.000,00"
25/07/2019,"$ 9.800,00"
24/07/2019,"$ 9.820,00"
23/07/2019,"$ 9.710,00"
22/07/2019,"$ 9.620,00"
19/07/2019,"$ 9.790,00"
18/07/2019,"$ 9.610,00"
17/07/2019,"$ 9.640,00"
16/07/2019,"$ 9.640,00"
15/07/2019,"$ 9.610,00"
12/07/2019,"$ 9.550,00"
11/07/2019,"$ 9.450,00"
10/07/2019,"$ 9.510,00"
05/07/2019,"$ 9.330,00"
04/07/2019,"$ 9.300,00"
03/07/2019,"$ 9.400,00"
02/07/2019,"$ 9.330,00"
01/07/2019,"$ 9.280,00"
28/06/2019,"$ 9.510,00"
27/06/2019,"$ 9.500,00"
26/06/2019,"$ 9.550,00"
25/06/2019,"$ 9.500,00"
24/06/2019,"$ 9.600,00"
21/06/2019,"$ 9.670,00"
19/06/2019,"$ 9.710,00"
18/06/2019,"$ 9.920,00"
14/06/2019,"$ 9.920,00"
13/06/2019,"$ 9.910,00"
12/06/2019,"$ 10.000,00"
11/06/2019,"$ 10.140,00"
10/06/2019,"$ 10.190,00"
07/06/2019,"$ 10.140,00"
06/06/2019,"$ 10.350,00"
05/06/2019,"$ 10.320,00"
04/06/2019,"$ 10.430,00"
03/06/2019,"$ 10.430,00"
31/05/2019,"$ 10.450,00"
30/05/2019,"$ 10.500,00"
29/05/2019,"$ 10.420,00"
28/05/2019,"$ 10.350,00"
27/05/2019,"$ 10.170,00"
24/05/2019,"$ 10.170,00"
23/05/2019,"$ 10.010,00"
22/05/2019,"$ 10.010,00"
21/05/2019,"$ 9.870,00"
20/05/2019,"$ 10.010,00"
17/05/2019,"$ 9.880,00"
16/05/2019,"$ 9.950,00"
15/05/2019,"$ 10.030,00"
14/05/2019,"$ 9.850,00"
13/05/2019,"$ 9.560,00"
10/05/2019,"$ 9.400,00"
09/05/2019,"$ 9.460,00"
08/05/2019,"$ 9.430,00"
07/05/2019,"$ 9.360,00"
06/05/2019,"$ 8.980,00"
03/05/2019,"$ 9.070,00"
02/05/2019,"$ 9.150,00"
30/04/2019,"$ 9.230,00"
29/04/2019,"$ 9.495,00"
26/04/2019,"$ 9.860,00"
25/04/2019,"$ 9.960,00"
24/04/2019,"$ 9.540,00"
23/04/2019,"$ 9.100,00"
22/04/2019,"$ 9.270,00"
17/04/2019,"$ 9.130,00"
16/04/2019,"$ 9.010,00"
15/04/2019,"$ 8.950,00"
12/04/2019,"$ 8.920,00"
11/04/2019,"$ 9.010,00"
10/04/2019,"$ 9.110,00"
09/04/2019,"$ 9.060,00"
08/04/2019,"$ 9.200,00"
05/04/2019,"$ 9.410,00"
04/04/2019,"$ 9.500,00"
03/04/2019,"$ 9.450,00"
01/04/2019,"$ 9.500,00"
29/03/2019,"$ 9.400,00"
28/03/2019,"$ 9.500,00"
27/03/2019,"$ 9.500,00"
26/03/2019,"$ 9.450,00"
25/03/2019,"$ 9.405,00"
22/03/2019,"$ 9.550,00"
21/03/2019,"$ 9.320,00"
20/03/2019,"$ 9.200,00"
19/03/2019,"$ 9.150,00"
18/03/2019,"$ 9.170,00"
15/03/2019,"$ 9.350,00"
14/03/2019,"$ 9.380,00"
13/03/2019,"$ 9.480,00"
12/03/2019,"$ 9.470,00"
11/03/2019,"$ 9.320,00"
08/03/2019,"$ 9.520,00"
07/03/2019,"$ 9.730,00"
06/03/2019,"$ 9.400,00"
01/03/2019,"$ 9.200,00"
28/02/2019,"$ 9.205,00"
27/02/2019,"$ 9.160,00"
26/02/2019,"$ 9.230,00"
25/02/2019,"$ 9.380,00"
22/02/2019,"$ 9.400,00"
21/02/2019,"$ 9.500,00"
20/02/2019,"$ 9.490,00"
19/02/2019,"$ 9.330,00"
18/02/2019,"$ 9.270,00"
15/02/2019,"$ 9.270,00"
14/02/2019,"$ 9.170,00"
13/02/2019,"$ 9.250,00"
12/02/2019,"$ 9.250,00"
11/02/2019,"$ 9.170,00"
08/02/2019,"$ 9.250,00"
07/02/2019,"$ 9.280,00"
06/02/2019,"$ 9.310,00"
05/02/2019,"$ 9.240,00"
04/02/2019,"$ 9.270,00"
01/02/2019,"$ 9.390,00"
31/01/2019,"$ 9.350,00"
30/01/2019,"$ 9.460,00"
29/01/2019,"$ 9.410,00"
28/01/2019,"$ 9.310,00"
25/01/2019,"$ 9.280,00"
24/01/2019,"$ 9.330,00"
23/01/2019,"$ 9.365,00"
22/01/2019,"$ 9.310,00"
21/01/2019,"$ 9.380,00"
18/01/2019,"$ 9.390,00"
17/01/2019,"$ 9.300,00"
16/01/2019,"$ 9.100,00"
15/01/2019,"$ 8.920,00"
14/01/2019,"$ 8.970,00"
11/01/2019,"$ 9.050,00"
10/01/2019,"$ 9.050,00"
09/01/2019,"$ 9.295,00"
08/01/2019,"$ 9.220,00"
07/01/2019,"$ 9.230,00"
04/01/2019,"$ 9.280,00"
03/01/2019,"$ 9.200,00"
02/01/2019,"$ 9.180,00"
28/12/2018,"$ 9.020,00"
27/12/2018,"$ 9.000,00"
26/12/2018,"$ 8.960,00"
21/12/2018,S
20/12/2018,"$ 9.020,00"
19/12/2018,"$ 9.120,00"
18/12/2018,"$ 9.130,00"
17/12/2018,"$ 9.080,00"
14/12/2018,S
13/12/2018,"$ 9.050,00"
12/12/2018,"$ 9.120,00"
11/12/2018,"$ 9.100,00"
10/12/2018,"$ 9.150,00"
07/12/2018,"$ 9.020,00"
06/12/2018,"$ 9.160,00"
05/12/2018,"$ 9.230,00"
04/12/2018,"$ 9.200,00"
03/12/2018,"$ 9.070,00"
30/11/2018,"$ 9.230,00"
29/11/2018,"$ 9.200,00"
28/11/2018,"$ 9.400,00"
27/11/2018,"$ 9.230,00"
26/11/2018,"$ 9.200,00"
23/11/2018,"$ 9.000,00"
22/11/2018,"$ 8.830,00"
21/11/2018,"$ 8.900,00"
